SCHOOLNAME	ATTDATE	MEMBERSHIP	ABSENCES	ATTENDANCE
IDEA San Benito Academy	2024-04-19	689	44	645
IDEA San Benito College Preparatory	2024-04-15	766	30	736
IDEA San Benito College Preparatory	2024-04-16	766	32	734
IDEA San Benito College Preparatory	2024-04-17	766	31	735
IDEA San Benito College Preparatory	2024-04-18	766	31	735
IDEA San Benito College Preparatory	2024-04-19	766	110	656
IDEA San Juan Academy	2024-04-15	705	43	662
IDEA San Juan Academy	2024-04-16	705	23	682
IDEA San Juan Academy	2024-04-17	705	34	671
IDEA San Juan Academy	2024-04-18	705	37	668
IDEA San Juan Academy	2024-04-19	704	66	638
IDEA San Juan College Preparatory	2024-04-15	729	69	660
IDEA San Juan College Preparatory	2024-04-16	729	48	681
IDEA San Juan College Preparatory	2024-04-17	729	46	683
IDEA San Juan College Preparatory	2024-04-18	729	167	562
IDEA San Juan College Preparatory	2024-04-19	729	72	657
IDEA South Flores Academy	2024-04-15	719	51	668
IDEA South Flores Academy	2024-04-16	717	38	679
IDEA South Flores Academy	2024-04-17	717	18	699
IDEA South Flores Academy	2024-04-18	716	19	697
IDEA South Flores Academy	2024-04-19	716	32	684
IDEA South Flores College Preparatory	2024-04-15	724	51	673
IDEA South Flores College Preparatory	2024-04-16	722	28	694
IDEA South Flores College Preparatory	2024-04-17	722	20	702
IDEA South Flores College Preparatory	2024-04-18	722	21	701
IDEA South Flores College Preparatory	2024-04-19	721	57	664
IDEA Southeast Academy	2024-04-15	598	28	570
IDEA Southeast Academy	2024-04-16	598	34	564
IDEA Southeast Academy	2024-04-17	598	26	572
IDEA Southeast Academy	2024-04-18	598	40	558
IDEA Southeast Academy	2024-04-19	598	56	542
IDEA Southeast College Preparatory	2024-04-15	347	19	328
IDEA Southeast College Preparatory	2024-04-16	347	15	332
IDEA Southeast College Preparatory	2024-04-17	347	6	341
IDEA Southeast College Preparatory	2024-04-18	347	20	327
IDEA Southeast College Preparatory	2024-04-19	347	22	325
IDEA Spears Academy	2024-04-15	679	23	656
IDEA Spears Academy	2024-04-16	679	31	648
IDEA Spears Academy	2024-04-17	678	36	642
IDEA Spears Academy	2024-04-18	678	35	643
IDEA Spears Academy	2024-04-19	677	61	616
IDEA Spears College Preparatory	2024-04-15	498	27	471
IDEA Spears College Preparatory	2024-04-16	498	12	486
IDEA Spears College Preparatory	2024-04-17	498	26	472
IDEA Spears College Preparatory	2024-04-18	498	14	484
IDEA Spears College Preparatory	2024-04-19	498	40	458
IDEA Sports Park Academy	2024-04-15	583	46	537
IDEA Sports Park Academy	2024-04-16	583	39	544
IDEA Sports Park Academy	2024-04-17	583	11	572
IDEA Sports Park Academy	2024-04-18	583	37	546
IDEA Sports Park Academy	2024-04-19	583	36	547
IDEA Sports Park College Preparatory	2024-04-15	410	38	372
IDEA Sports Park College Preparatory	2024-04-16	410	31	379
IDEA Sports Park College Preparatory	2024-04-17	410	19	391
IDEA Sports Park College Preparatory	2024-04-18	410	14	396
IDEA Sports Park College Preparatory	2024-04-19	410	47	363
IDEA Toros College Preparatory	2024-04-15	267	15	252
IDEA Toros College Preparatory	2024-04-16	267	5	262
IDEA Toros College Preparatory	2024-04-17	267	55	212
IDEA Toros College Preparatory	2024-04-18	267	18	249
IDEA Toros College Preparatory	2024-04-19	267	22	245
IDEA Tres Lagos Academy	2024-04-15	684	14	670
IDEA Tres Lagos Academy	2024-04-16	684	15	669
IDEA Tres Lagos Academy	2024-04-17	684	19	665
IDEA Tres Lagos Academy	2024-04-18	684	34	650
IDEA Tres Lagos Academy	2024-04-19	684	40	644
IDEA Tres Lagos College Preparatory	2024-04-15	628	28	600
IDEA Tres Lagos College Preparatory	2024-04-16	627	26	601
IDEA Tres Lagos College Preparatory	2024-04-17	627	34	593
IDEA Tres Lagos College Preparatory	2024-04-18	626	64	562
IDEA Tres Lagos College Preparatory	2024-04-19	626	66	560
IDEA Walzem Academy	2024-04-15	626	27	599
IDEA Walzem Academy	2024-04-16	628	17	611
IDEA Walzem Academy	2024-04-17	630	30	600
IDEA Walzem Academy	2024-04-18	630	38	592
IDEA Walzem Academy	2024-04-19	630	54	576
IDEA Walzem College Preparatory	2024-04-15	726	57	669
IDEA Walzem College Preparatory	2024-04-16	725	27	698
IDEA Walzem College Preparatory	2024-04-17	725	28	697
IDEA Walzem College Preparatory	2024-04-18	724	22	702
IDEA Walzem College Preparatory	2024-04-19	724	74	650
IDEA Weslaco Academy	2024-04-15	679	49	630
IDEA Weslaco Academy	2024-04-16	678	30	648
IDEA Weslaco Academy	2024-04-17	678	51	627
IDEA Weslaco Academy	2024-04-18	678	40	638
IDEA Weslaco Academy	2024-04-19	678	46	632
IDEA Weslaco College Preparatory	2024-04-15	739	63	676
IDEA Weslaco College Preparatory	2024-04-16	739	38	701
IDEA Weslaco College Preparatory	2024-04-17	739	38	701
IDEA Weslaco College Preparatory	2024-04-18	739	42	697
IDEA Weslaco College Preparatory	2024-04-19	738	60	678
IDEA Weslaco Pike Academy	2024-04-15	724	16	708
IDEA Weslaco Pike Academy	2024-04-16	724	25	699
IDEA Weslaco Pike Academy	2024-04-17	724	41	683
IDEA Weslaco Pike Academy	2024-04-18	724	32	692
IDEA Weslaco Pike Academy	2024-04-19	724	46	678
IDEA Weslaco Pike College Preparatory	2024-04-15	724	21	703
IDEA Weslaco Pike College Preparatory	2024-04-16	724	21	703
IDEA Weslaco Pike College Preparatory	2024-04-17	724	48	676
IDEA Weslaco Pike College Preparatory	2024-04-18	724	24	700
IDEA Weslaco Pike College Preparatory	2024-04-19	724	52	672
IDEA Yukon Academy	2024-04-15	710	35	675
IDEA Yukon Academy	2024-04-16	710	26	684
IDEA Yukon Academy	2024-04-17	710	19	691
IDEA Yukon Academy	2024-04-18	711	31	680
IDEA Yukon Academy	2024-04-19	710	26	684
IDEA Yukon College Preparatory	2024-04-15	356	22	334
IDEA Yukon College Preparatory	2024-04-16	356	20	336
IDEA Yukon College Preparatory	2024-04-17	356	16	340
IDEA Yukon College Preparatory	2024-04-18	356	13	343
IDEA Yukon College Preparatory	2024-04-19	356	26	330
