SCHOOLNAME	Region	SaleDate	MealType	TotalMealCount
IDEA Edgecliff College Preparatory	TRCR	2024-04-16	Lunch	419
IDEA Edgecliff College Preparatory	TRCR	2024-04-17	Breakfast	297
IDEA Edgecliff College Preparatory	TRCR	2024-04-17	CACFP Supper	22
IDEA Edgecliff College Preparatory	TRCR	2024-04-17	Lunch	360
IDEA Edgecliff College Preparatory	TRCR	2024-04-18	Breakfast	261
IDEA Edgecliff College Preparatory	TRCR	2024-04-18	CACFP Supper	14
IDEA Edgecliff College Preparatory	TRCR	2024-04-18	Lunch	394
IDEA Edgecliff College Preparatory	TRCR	2024-04-19	Breakfast	298
IDEA Edgecliff College Preparatory	TRCR	2024-04-19	CACFP Supper	10
IDEA Edgecliff College Preparatory	TRCR	2024-04-19	Lunch	406
IDEA Edgemere Academy	ELPR	2024-04-15	Breakfast	724
IDEA Edgemere Academy	ELPR	2024-04-15	CACFP Supper	266
IDEA Edgemere Academy	ELPR	2024-04-15	Lunch	612
IDEA Edgemere Academy	ELPR	2024-04-16	Breakfast	614
IDEA Edgemere Academy	ELPR	2024-04-16	CACFP Supper	281
IDEA Edgemere Academy	ELPR	2024-04-16	Lunch	555
IDEA Edgemere Academy	ELPR	2024-04-17	Breakfast	570
IDEA Edgemere Academy	ELPR	2024-04-17	CACFP Supper	271
IDEA Edgemere Academy	ELPR	2024-04-17	Lunch	613
IDEA Edgemere Academy	ELPR	2024-04-18	Breakfast	557
IDEA Edgemere Academy	ELPR	2024-04-18	CACFP Supper	290
IDEA Edgemere Academy	ELPR	2024-04-18	Lunch	598
IDEA Edgemere Academy	ELPR	2024-04-19	Breakfast	534
IDEA Edgemere Academy	ELPR	2024-04-19	CACFP Supper	264
IDEA Edgemere Academy	ELPR	2024-04-19	Lunch	647
IDEA Edgemere College Preparatory	ELPR	2024-04-15	Breakfast	243
IDEA Edgemere College Preparatory	ELPR	2024-04-15	CACFP Supper	1
IDEA Edgemere College Preparatory	ELPR	2024-04-15	Lunch	403
IDEA Edgemere College Preparatory	ELPR	2024-04-16	Breakfast	364
IDEA Edgemere College Preparatory	ELPR	2024-04-16	CACFP Supper	2
IDEA Edgemere College Preparatory	ELPR	2024-04-16	Lunch	388
IDEA Edgemere College Preparatory	ELPR	2024-04-17	Breakfast	345
IDEA Edgemere College Preparatory	ELPR	2024-04-17	CACFP Supper	5
IDEA Edgemere College Preparatory	ELPR	2024-04-17	Lunch	404
IDEA Edgemere College Preparatory	ELPR	2024-04-18	Breakfast	327
IDEA Edgemere College Preparatory	ELPR	2024-04-18	CACFP Supper	2
IDEA Edgemere College Preparatory	ELPR	2024-04-18	Lunch	432
IDEA Edgemere College Preparatory	ELPR	2024-04-19	Breakfast	335
IDEA Edgemere College Preparatory	ELPR	2024-04-19	CACFP Supper	2
IDEA Edgemere College Preparatory	ELPR	2024-04-19	Lunch	422
IDEA Edinburg Academy	MRGV	2024-04-15	Breakfast	483
IDEA Edinburg Academy	MRGV	2024-04-15	CACFP Supper	117
IDEA Edinburg Academy	MRGV	2024-04-15	Lunch	664
IDEA Edinburg Academy	MRGV	2024-04-16	Breakfast	510
IDEA Edinburg Academy	MRGV	2024-04-16	CACFP Supper	160
IDEA Edinburg Academy	MRGV	2024-04-16	Lunch	668
IDEA Edinburg Academy	MRGV	2024-04-17	Breakfast	510
IDEA Edinburg Academy	MRGV	2024-04-17	CACFP Supper	147
IDEA Edinburg Academy	MRGV	2024-04-17	Lunch	607
IDEA Edinburg Academy	MRGV	2024-04-18	Breakfast	490
IDEA Edinburg Academy	MRGV	2024-04-18	CACFP Supper	147
IDEA Edinburg Academy	MRGV	2024-04-18	Lunch	659
IDEA Edinburg Academy	MRGV	2024-04-19	Breakfast	486
IDEA Edinburg Academy	MRGV	2024-04-19	CACFP Supper	102
IDEA Edinburg Academy	MRGV	2024-04-19	Lunch	532
IDEA Edinburg College Preparatory	MRGV	2024-04-15	Breakfast	550
IDEA Edinburg College Preparatory	MRGV	2024-04-15	CACFP Supper	59
IDEA Edinburg College Preparatory	MRGV	2024-04-15	Lunch	552
IDEA Edinburg College Preparatory	MRGV	2024-04-16	Breakfast	551
IDEA Edinburg College Preparatory	MRGV	2024-04-16	CACFP Supper	61
IDEA Edinburg College Preparatory	MRGV	2024-04-16	Lunch	556
IDEA Edinburg College Preparatory	MRGV	2024-04-17	Breakfast	562
IDEA Edinburg College Preparatory	MRGV	2024-04-17	CACFP Supper	67
IDEA Edinburg College Preparatory	MRGV	2024-04-17	Lunch	579
IDEA Edinburg College Preparatory	MRGV	2024-04-18	Breakfast	514
IDEA Edinburg College Preparatory	MRGV	2024-04-18	CACFP Supper	71
IDEA Edinburg College Preparatory	MRGV	2024-04-18	Lunch	594
IDEA Edinburg College Preparatory	MRGV	2024-04-19	Breakfast	512
IDEA Edinburg College Preparatory	MRGV	2024-04-19	Lunch	522
IDEA Elsa Academy	MRGV	2024-04-15	Breakfast	430
IDEA Elsa Academy	MRGV	2024-04-15	CACFP Supper	358
IDEA Elsa Academy	MRGV	2024-04-15	CACFP Supper	15
IDEA Elsa Academy	MRGV	2024-04-15	Lunch	644
IDEA Elsa Academy	MRGV	2024-04-16	Breakfast	457
IDEA Elsa Academy	MRGV	2024-04-16	CACFP Supper	257
IDEA Elsa Academy	MRGV	2024-04-16	CACFP Supper	16
IDEA Elsa Academy	MRGV	2024-04-16	Lunch	674
IDEA Elsa Academy	MRGV	2024-04-17	Breakfast	468
IDEA Elsa Academy	MRGV	2024-04-17	CACFP Supper	373
IDEA Elsa Academy	MRGV	2024-04-17	CACFP Supper	15
IDEA Elsa Academy	MRGV	2024-04-17	Lunch	637
IDEA Elsa Academy	MRGV	2024-04-18	Breakfast	451
IDEA Elsa Academy	MRGV	2024-04-18	CACFP Supper	410
IDEA Elsa Academy	MRGV	2024-04-18	CACFP Supper	27
IDEA Elsa Academy	MRGV	2024-04-18	Lunch	652
IDEA Elsa Academy	MRGV	2024-04-19	Breakfast	434
IDEA Elsa Academy	MRGV	2024-04-19	CACFP Supper	329
IDEA Elsa Academy	MRGV	2024-04-19	CACFP Supper	15
IDEA Elsa Academy	MRGV	2024-04-19	Lunch	637
IDEA Elsa College Preparatory	MRGV	2024-04-15	Breakfast	442
IDEA Elsa College Preparatory	MRGV	2024-04-15	CACFP Supper	3
IDEA Elsa College Preparatory	MRGV	2024-04-15	CACFP Supper	9
IDEA Elsa College Preparatory	MRGV	2024-04-15	Lunch	492
IDEA Elsa College Preparatory	MRGV	2024-04-16	Breakfast	435
IDEA Elsa College Preparatory	MRGV	2024-04-16	CACFP Supper	4
IDEA Elsa College Preparatory	MRGV	2024-04-16	CACFP Supper	12
IDEA Elsa College Preparatory	MRGV	2024-04-16	Lunch	499
IDEA Elsa College Preparatory	MRGV	2024-04-17	Breakfast	437
IDEA Elsa College Preparatory	MRGV	2024-04-17	CACFP Supper	4
IDEA Elsa College Preparatory	MRGV	2024-04-17	CACFP Supper	5
IDEA Elsa College Preparatory	MRGV	2024-04-17	Lunch	555
IDEA Elsa College Preparatory	MRGV	2024-04-18	Breakfast	418
IDEA Elsa College Preparatory	MRGV	2024-04-18	CACFP Supper	13
IDEA Elsa College Preparatory	MRGV	2024-04-18	CACFP Supper	26
IDEA Elsa College Preparatory	MRGV	2024-04-18	Lunch	519
IDEA Elsa College Preparatory	MRGV	2024-04-19	Breakfast	445
IDEA Elsa College Preparatory	MRGV	2024-04-19	CACFP Supper	6
IDEA Elsa College Preparatory	MRGV	2024-04-19	Lunch	470
IDEA Ewing Halsell Academy	WSAR	2024-04-15	Breakfast	346
IDEA Ewing Halsell Academy	WSAR	2024-04-15	CACFP Supper	57
IDEA Ewing Halsell Academy	WSAR	2024-04-15	Lunch	597
IDEA Ewing Halsell Academy	WSAR	2024-04-16	Breakfast	352
IDEA Ewing Halsell Academy	WSAR	2024-04-16	CACFP Supper	37
IDEA Ewing Halsell Academy	WSAR	2024-04-16	Lunch	592
IDEA Ewing Halsell Academy	WSAR	2024-04-17	Breakfast	348
IDEA Ewing Halsell Academy	WSAR	2024-04-17	CACFP Supper	53
IDEA Ewing Halsell Academy	WSAR	2024-04-17	Lunch	590
IDEA Ewing Halsell Academy	WSAR	2024-04-18	Breakfast	370
IDEA Ewing Halsell Academy	WSAR	2024-04-18	CACFP Supper	47
IDEA Ewing Halsell Academy	WSAR	2024-04-18	Lunch	587
IDEA Ewing Halsell Academy	WSAR	2024-04-19	Breakfast	369
IDEA Ewing Halsell Academy	WSAR	2024-04-19	CACFP Supper	37
IDEA Ewing Halsell Academy	WSAR	2024-04-19	Lunch	567
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-15	Breakfast	255
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-15	CACFP Supper	22
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-15	Lunch	426
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-16	Breakfast	272
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-16	CACFP Supper	12
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-16	Lunch	437
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-17	Breakfast	247
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-17	CACFP Supper	12
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-17	Lunch	492
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-18	Breakfast	266
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-18	CACFP Supper	8
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-18	Lunch	460
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-19	Breakfast	243
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-19	CACFP Supper	13
IDEA Ewing Halsell College Preparatory	WSAR	2024-04-19	Lunch	345
IDEA Frontier Academy	LRGV	2024-04-15	Breakfast	627
IDEA Frontier Academy	LRGV	2024-04-15	CACFP Supper	179
IDEA Frontier Academy	LRGV	2024-04-15	Lunch	630
IDEA Frontier Academy	LRGV	2024-04-16	Breakfast	644
IDEA Frontier Academy	LRGV	2024-04-16	CACFP Supper	150
IDEA Frontier Academy	LRGV	2024-04-16	Lunch	635
IDEA Frontier Academy	LRGV	2024-04-17	Breakfast	646
IDEA Frontier Academy	LRGV	2024-04-17	CACFP Supper	154
IDEA Frontier Academy	LRGV	2024-04-17	Lunch	652
IDEA Frontier Academy	LRGV	2024-04-18	Breakfast	603
IDEA Frontier Academy	LRGV	2024-04-18	CACFP Supper	178
IDEA Frontier Academy	LRGV	2024-04-18	Lunch	630
IDEA Frontier Academy	LRGV	2024-04-19	Breakfast	612
IDEA Frontier Academy	LRGV	2024-04-19	CACFP Supper	132
IDEA Frontier Academy	LRGV	2024-04-19	Lunch	635
IDEA Frontier College Preparatory	LRGV	2024-04-15	Breakfast	619
IDEA Frontier College Preparatory	LRGV	2024-04-15	CACFP Supper	23
IDEA Frontier College Preparatory	LRGV	2024-04-15	Lunch	679
IDEA Frontier College Preparatory	LRGV	2024-04-16	Breakfast	637
IDEA Frontier College Preparatory	LRGV	2024-04-16	CACFP Supper	16
IDEA Frontier College Preparatory	LRGV	2024-04-16	Lunch	715
IDEA Frontier College Preparatory	LRGV	2024-04-17	Breakfast	636
IDEA Frontier College Preparatory	LRGV	2024-04-17	CACFP Supper	29
IDEA Frontier College Preparatory	LRGV	2024-04-17	Lunch	669
IDEA Frontier College Preparatory	LRGV	2024-04-18	Breakfast	580
IDEA Frontier College Preparatory	LRGV	2024-04-18	CACFP Supper	35
IDEA Frontier College Preparatory	LRGV	2024-04-18	Lunch	571
IDEA Frontier College Preparatory	LRGV	2024-04-19	Breakfast	604
IDEA Frontier College Preparatory	LRGV	2024-04-19	CACFP Supper	25
IDEA Frontier College Preparatory	LRGV	2024-04-19	Lunch	639
IDEA Hardy Academy	HOUR	2024-04-15	Breakfast	358
IDEA Hardy Academy	HOUR	2024-04-15	CACFP Supper	45
IDEA Hardy Academy	HOUR	2024-04-15	Lunch	533
IDEA Hardy Academy	HOUR	2024-04-16	Breakfast	408
IDEA Hardy Academy	HOUR	2024-04-16	CACFP Supper	9
IDEA Hardy Academy	HOUR	2024-04-16	Lunch	433
IDEA Hardy Academy	HOUR	2024-04-17	Breakfast	379
IDEA Hardy Academy	HOUR	2024-04-17	CACFP Supper	9
IDEA Hardy Academy	HOUR	2024-04-17	Lunch	483
IDEA Hardy Academy	HOUR	2024-04-18	Breakfast	396
IDEA Hardy Academy	HOUR	2024-04-18	CACFP Supper	8
IDEA Hardy Academy	HOUR	2024-04-18	Lunch	512
IDEA Hardy Academy	HOUR	2024-04-19	Breakfast	387
IDEA Hardy Academy	HOUR	2024-04-19	CACFP Supper	8
IDEA Hardy Academy	HOUR	2024-04-19	Lunch	518
IDEA Hardy College Preparatory	HOUR	2024-04-15	Breakfast	223
IDEA Hardy College Preparatory	HOUR	2024-04-15	Lunch	354
IDEA Hardy College Preparatory	HOUR	2024-04-16	Breakfast	221
IDEA Hardy College Preparatory	HOUR	2024-04-16	CACFP Supper	1
IDEA Hardy College Preparatory	HOUR	2024-04-16	Lunch	404
IDEA Hardy College Preparatory	HOUR	2024-04-17	Breakfast	220
IDEA Hardy College Preparatory	HOUR	2024-04-17	Lunch	391
IDEA Hardy College Preparatory	HOUR	2024-04-18	Breakfast	199
IDEA Hardy College Preparatory	HOUR	2024-04-18	Lunch	325
IDEA Hardy College Preparatory	HOUR	2024-04-19	Breakfast	264
IDEA Hardy College Preparatory	HOUR	2024-04-19	CACFP Supper	1
IDEA Hardy College Preparatory	HOUR	2024-04-19	Lunch	379
IDEA Harlingen Academy	LRGV	2024-04-15	Breakfast	453
IDEA Harlingen Academy	LRGV	2024-04-15	CACFP Supper	66
IDEA Harlingen Academy	LRGV	2024-04-15	Lunch	503
IDEA Harlingen Academy	LRGV	2024-04-16	Breakfast	461
IDEA Harlingen Academy	LRGV	2024-04-16	CACFP Supper	146
IDEA Harlingen Academy	LRGV	2024-04-16	Lunch	583
IDEA Harlingen Academy	LRGV	2024-04-17	Breakfast	479
IDEA Harlingen Academy	LRGV	2024-04-17	CACFP Supper	156
IDEA Harlingen Academy	LRGV	2024-04-17	Lunch	509
IDEA Harlingen Academy	LRGV	2024-04-18	Breakfast	440
IDEA Harlingen Academy	LRGV	2024-04-18	CACFP Supper	145
IDEA Harlingen Academy	LRGV	2024-04-18	Lunch	432
IDEA Harlingen Academy	LRGV	2024-04-19	Breakfast	449
IDEA Harlingen Academy	LRGV	2024-04-19	CACFP Supper	140
IDEA Harlingen Academy	LRGV	2024-04-19	Lunch	530
IDEA Harlingen College Preparatory	LRGV	2024-04-15	Breakfast	197
IDEA Harlingen College Preparatory	LRGV	2024-04-15	CACFP Supper	26
IDEA Harlingen College Preparatory	LRGV	2024-04-15	Lunch	284
IDEA Harlingen College Preparatory	LRGV	2024-04-16	Breakfast	239
IDEA Harlingen College Preparatory	LRGV	2024-04-16	CACFP Supper	22
IDEA Harlingen College Preparatory	LRGV	2024-04-16	Lunch	319
IDEA Harlingen College Preparatory	LRGV	2024-04-17	Breakfast	224
IDEA Harlingen College Preparatory	LRGV	2024-04-17	CACFP Supper	29
IDEA Harlingen College Preparatory	LRGV	2024-04-17	Lunch	279
IDEA Harlingen College Preparatory	LRGV	2024-04-18	Breakfast	172
IDEA Harlingen College Preparatory	LRGV	2024-04-18	CACFP Supper	21
IDEA Harlingen College Preparatory	LRGV	2024-04-18	Lunch	291
IDEA Harlingen College Preparatory	LRGV	2024-04-19	Breakfast	185
IDEA Harlingen College Preparatory	LRGV	2024-04-19	CACFP Supper	22
IDEA Harlingen College Preparatory	LRGV	2024-04-19	Lunch	275
IDEA Health Professions Academy	AUR	2024-04-15	Breakfast	153
IDEA Health Professions Academy	AUR	2024-04-15	CACFP Supper	29
IDEA Health Professions Academy	AUR	2024-04-15	CACFP Supper	25
IDEA Health Professions Academy	AUR	2024-04-15	Lunch	216
IDEA Health Professions Academy	AUR	2024-04-16	Breakfast	145
IDEA Health Professions Academy	AUR	2024-04-16	CACFP Supper	34
IDEA Health Professions Academy	AUR	2024-04-16	CACFP Supper	21
IDEA Health Professions Academy	AUR	2024-04-16	Lunch	244
IDEA Health Professions Academy	AUR	2024-04-17	Breakfast	161
IDEA Health Professions Academy	AUR	2024-04-17	CACFP Supper	28
IDEA Health Professions Academy	AUR	2024-04-17	CACFP Supper	22
IDEA Health Professions Academy	AUR	2024-04-17	Lunch	229
IDEA Health Professions Academy	AUR	2024-04-18	Breakfast	153
IDEA Health Professions Academy	AUR	2024-04-18	CACFP Supper	32
IDEA Health Professions Academy	AUR	2024-04-18	CACFP Supper	20
IDEA Health Professions Academy	AUR	2024-04-18	Lunch	234
IDEA Health Professions Academy	AUR	2024-04-19	Breakfast	185
IDEA Health Professions Academy	AUR	2024-04-19	CACFP Supper	18
IDEA Health Professions Academy	AUR	2024-04-19	Lunch	226
IDEA Health Professions College Preparatory	AUR	2024-04-15	Breakfast	155
IDEA Health Professions College Preparatory	AUR	2024-04-15	CACFP Supper	19
IDEA Health Professions College Preparatory	AUR	2024-04-15	Lunch	239
IDEA Health Professions College Preparatory	AUR	2024-04-16	Breakfast	179
IDEA Health Professions College Preparatory	AUR	2024-04-16	CACFP Supper	6
IDEA Health Professions College Preparatory	AUR	2024-04-16	Lunch	207
IDEA Health Professions College Preparatory	AUR	2024-04-17	Breakfast	144
IDEA Health Professions College Preparatory	AUR	2024-04-17	CACFP Supper	6
IDEA Health Professions College Preparatory	AUR	2024-04-17	Lunch	213
IDEA Health Professions College Preparatory	AUR	2024-04-18	Breakfast	142
IDEA Health Professions College Preparatory	AUR	2024-04-18	CACFP Supper	3
IDEA Health Professions College Preparatory	AUR	2024-04-18	Lunch	244
IDEA Health Professions College Preparatory	AUR	2024-04-19	Breakfast	134
IDEA Health Professions College Preparatory	AUR	2024-04-19	CACFP Supper	3
IDEA Health Professions College Preparatory	AUR	2024-04-19	Lunch	227
IDEA Hidden Meadow Academy	WSAR	2024-04-15	Breakfast	353
IDEA Hidden Meadow Academy	WSAR	2024-04-15	CACFP Supper	49
IDEA Hidden Meadow Academy	WSAR	2024-04-15	Lunch	413
IDEA Hidden Meadow Academy	WSAR	2024-04-16	Breakfast	342
IDEA Hidden Meadow Academy	WSAR	2024-04-16	CACFP Supper	64
IDEA Hidden Meadow Academy	WSAR	2024-04-16	Lunch	465
IDEA Hidden Meadow Academy	WSAR	2024-04-17	Breakfast	369
IDEA Hidden Meadow Academy	WSAR	2024-04-17	CACFP Supper	55
IDEA Hidden Meadow Academy	WSAR	2024-04-17	Lunch	403
IDEA Hidden Meadow Academy	WSAR	2024-04-18	Breakfast	339
IDEA Hidden Meadow Academy	WSAR	2024-04-18	CACFP Supper	56
IDEA Hidden Meadow Academy	WSAR	2024-04-18	Lunch	428
IDEA Hidden Meadow Academy	WSAR	2024-04-19	Breakfast	355
IDEA Hidden Meadow Academy	WSAR	2024-04-19	CACFP Supper	45
IDEA Hidden Meadow Academy	WSAR	2024-04-19	Lunch	428
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-15	Breakfast	201
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-15	Lunch	189
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-16	Breakfast	196
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-16	Lunch	249
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-17	Breakfast	196
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-17	Lunch	179
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-18	Breakfast	193
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-18	Lunch	196
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-19	Breakfast	177
IDEA Hidden Meadow College Preparatory	WSAR	2024-04-19	Lunch	182
IDEA Hope Academy	TABR	2024-04-15	Breakfast	263
IDEA Hope Academy	TABR	2024-04-15	CACFP Supper	226
IDEA Hope Academy	TABR	2024-04-15	Lunch	370
IDEA Hope Academy	TABR	2024-04-16	Breakfast	297
IDEA Hope Academy	TABR	2024-04-16	CACFP Supper	228
IDEA Hope Academy	TABR	2024-04-16	Lunch	361
IDEA Hope Academy	TABR	2024-04-17	Breakfast	315
IDEA Hope Academy	TABR	2024-04-17	CACFP Supper	210
IDEA Hope Academy	TABR	2024-04-17	Lunch	337
IDEA Hope Academy	TABR	2024-04-18	Breakfast	293
IDEA Hope Academy	TABR	2024-04-18	CACFP Supper	228
IDEA Hope Academy	TABR	2024-04-18	Lunch	298
IDEA Hope Academy	TABR	2024-04-19	Breakfast	254
IDEA Hope Academy	TABR	2024-04-19	CACFP Supper	229
IDEA Hope Academy	TABR	2024-04-19	Lunch	376
IDEA Hope College Preparatory	TABR	2024-04-15	Breakfast	180
IDEA Hope College Preparatory	TABR	2024-04-15	Lunch	212
IDEA Hope College Preparatory	TABR	2024-04-16	Breakfast	217
IDEA Hope College Preparatory	TABR	2024-04-16	Lunch	209
IDEA Hope College Preparatory	TABR	2024-04-17	Breakfast	209
IDEA Hope College Preparatory	TABR	2024-04-17	Lunch	207
IDEA Hope College Preparatory	TABR	2024-04-18	Breakfast	199
IDEA Hope College Preparatory	TABR	2024-04-18	Lunch	210
IDEA Hope College Preparatory	TABR	2024-04-19	Breakfast	185
IDEA Hope College Preparatory	TABR	2024-04-19	Lunch	191
IDEA Horizon Vista Academy	ELPR	2024-04-15	Breakfast	488
IDEA Horizon Vista Academy	ELPR	2024-04-15	CACFP Supper	13
IDEA Horizon Vista Academy	ELPR	2024-04-15	CACFP Supper	507
IDEA Horizon Vista Academy	ELPR	2024-04-15	Lunch	625
IDEA Horizon Vista Academy	ELPR	2024-04-16	Breakfast	398
IDEA Horizon Vista Academy	ELPR	2024-04-16	CACFP Supper	9
IDEA Horizon Vista Academy	ELPR	2024-04-16	CACFP Supper	528
IDEA Horizon Vista Academy	ELPR	2024-04-16	Lunch	572
IDEA Horizon Vista Academy	ELPR	2024-04-17	Breakfast	403
IDEA Horizon Vista Academy	ELPR	2024-04-17	CACFP Supper	17
IDEA Horizon Vista Academy	ELPR	2024-04-17	CACFP Supper	194
IDEA Horizon Vista Academy	ELPR	2024-04-17	Lunch	552
IDEA Horizon Vista Academy	ELPR	2024-04-18	Breakfast	445
IDEA Horizon Vista Academy	ELPR	2024-04-18	CACFP Supper	13
IDEA Horizon Vista Academy	ELPR	2024-04-18	CACFP Supper	558
IDEA Horizon Vista Academy	ELPR	2024-04-18	Lunch	596
IDEA Horizon Vista Academy	ELPR	2024-04-19	Breakfast	420
IDEA Horizon Vista Academy	ELPR	2024-04-19	CACFP Supper	13
IDEA Horizon Vista Academy	ELPR	2024-04-19	CACFP Supper	468
IDEA Horizon Vista Academy	ELPR	2024-04-19	Lunch	619
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	Breakfast	39
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	Breakfast	88
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	CACFP Supper	22
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	CACFP Supper	143
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	Lunch	5
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	Lunch	161
IDEA Horizon Vista College Preparatory	ELPR	2024-04-15	Lunch	84
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	Breakfast	41
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	Breakfast	87
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	CACFP Supper	25
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	CACFP Supper	141
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	Lunch	4
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	Lunch	197
IDEA Horizon Vista College Preparatory	ELPR	2024-04-16	Lunch	69
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	Breakfast	40
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	Breakfast	90
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	CACFP Supper	28
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	CACFP Supper	163
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	Lunch	8
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	Lunch	109
IDEA Horizon Vista College Preparatory	ELPR	2024-04-17	Lunch	127
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	Breakfast	50
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	Breakfast	96
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	CACFP Supper	28
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	CACFP Supper	149
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	Lunch	7
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	Lunch	200
IDEA Horizon Vista College Preparatory	ELPR	2024-04-18	Lunch	69
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	Breakfast	58
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	Breakfast	90
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	CACFP Supper	17
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	CACFP Supper	154
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	Lunch	8
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	Lunch	162
IDEA Horizon Vista College Preparatory	ELPR	2024-04-19	Lunch	71
IDEA Ingram Hills Academy	WSAR	2024-04-15	Breakfast	365
IDEA Ingram Hills Academy	WSAR	2024-04-15	CACFP Supper	74
IDEA Ingram Hills Academy	WSAR	2024-04-15	Lunch	529
IDEA Ingram Hills Academy	WSAR	2024-04-16	Breakfast	387
IDEA Ingram Hills Academy	WSAR	2024-04-16	CACFP Supper	58
IDEA Ingram Hills Academy	WSAR	2024-04-16	Lunch	556
IDEA Ingram Hills Academy	WSAR	2024-04-17	Breakfast	387
IDEA Ingram Hills Academy	WSAR	2024-04-17	CACFP Supper	61
IDEA Ingram Hills Academy	WSAR	2024-04-17	Lunch	536
IDEA Ingram Hills Academy	WSAR	2024-04-18	Breakfast	407
IDEA Ingram Hills Academy	WSAR	2024-04-18	CACFP Supper	98
IDEA Ingram Hills Academy	WSAR	2024-04-18	Lunch	536
IDEA Ingram Hills Academy	WSAR	2024-04-19	Breakfast	411
IDEA Ingram Hills Academy	WSAR	2024-04-19	CACFP Supper	71
IDEA Ingram Hills Academy	WSAR	2024-04-19	Lunch	505
IDEA Ingram Hills College Preparatory	WSAR	2024-04-15	Breakfast	196
IDEA Ingram Hills College Preparatory	WSAR	2024-04-15	CACFP Supper	13
IDEA Ingram Hills College Preparatory	WSAR	2024-04-15	Lunch	374
IDEA Ingram Hills College Preparatory	WSAR	2024-04-16	Breakfast	175
IDEA Ingram Hills College Preparatory	WSAR	2024-04-16	CACFP Supper	18
IDEA Ingram Hills College Preparatory	WSAR	2024-04-16	Lunch	454
IDEA Ingram Hills College Preparatory	WSAR	2024-04-17	Breakfast	181
IDEA Ingram Hills College Preparatory	WSAR	2024-04-17	CACFP Supper	20
IDEA Ingram Hills College Preparatory	WSAR	2024-04-17	Lunch	311
IDEA Ingram Hills College Preparatory	WSAR	2024-04-18	Breakfast	146
IDEA Ingram Hills College Preparatory	WSAR	2024-04-18	CACFP Supper	30
IDEA Ingram Hills College Preparatory	WSAR	2024-04-18	Lunch	377
IDEA Ingram Hills College Preparatory	WSAR	2024-04-19	Breakfast	158
IDEA Ingram Hills College Preparatory	WSAR	2024-04-19	CACFP Supper	15
IDEA Ingram Hills College Preparatory	WSAR	2024-04-19	Lunch	321
IDEA Innovation Academy	SOLA	2024-04-15	Breakfast	338
IDEA Innovation Academy	SOLA	2024-04-15	CACFP Supper	152
